last_changed,binary_sensor.bayesianbinary,binary_sensor.bedroom_motion_sensor,binary_sensor.blink_armed_status,binary_sensor.blink_blink_camera_percy_motion_enabled,binary_sensor.hall_motion_sensor,binary_sensor.in_bed_bayesian,binary_sensor.living_room_motion_sensor,binary_sensor.living_room_nest_protect_online,binary_sensor.motion_at_home,binary_sensor.workday_sensor
2017-07-23 06:40:37.198866,,,,,False,,,,,
2017-07-23 06:40:37.512997,,,,,,,,,,False
2017-07-23 06:40:38.722959,,,,,,,,True,,
2017-07-23 06:40:38.985538,,,,False,,,,,,
2017-07-23 06:40:39.170307,,,False,,,,,,,
2017-07-23 06:40:45.240315,,,,,,,True,,,
2017-07-23 06:40:55.236364,,,,,,,False,,,
2017-07-23 06:41:04.253356,,,,,,,True,,,
2017-07-23 06:41:22.252450,,,,,,,False,,,
2017-07-23 06:43:10.420419,,False,,,,,,,,
2017-07-23 06:43:10.445137,,,,,False,,,,,
2017-07-23 06:43:10.447505,,,,,,,False,,,
2017-07-23 06:43:10.978293,,,,,,,,,,False
2017-07-23 06:43:11.555616,,,,,,,,True,,
2017-07-23 06:43:13.017173,,,,False,,,,,,
2017-07-23 06:43:13.291286,,,False,,,,,,,
2017-07-23 06:43:26.440078,,,,,,,True,,,
2017-07-23 06:43:50.442327,,,,,,,False,,,
2017-07-23 06:44:31.442221,,,,,,,True,,,
2017-07-23 06:44:41.569840,,,,,,,False,,,
2017-07-23 06:45:15.420287,,,,,True,,,,,
2017-07-23 06:45:30.421325,,,,,False,,,,,
2017-07-23 06:47:16.543934,,,,,True,,,,,
2017-07-23 06:47:30.422858,,,,,False,,,,,
2017-07-23 06:47:36.440043,,,,,,,True,,,
2017-07-23 06:47:45.444313,,,,,,,False,,,
2017-07-23 06:49:16.439887,,,,,,,True,,,
2017-07-23 06:49:34.440697,,,,,,,False,,,
2017-07-23 06:50:08.441899,,,,,,,True,,,
2017-07-23 06:50:21.575884,,,,,,,False,,,
2017-07-23 06:53:15.430063,,,,,,,True,,,
2017-07-23 06:53:33.443320,,,,,,,False,,,
2017-07-23 06:54:01.434391,,,,,,,True,,,
2017-07-23 06:54:18.427881,,,,,,,False,,,
2017-07-23 07:04:40.431728,,,,,,,True,,,
2017-07-23 07:04:50.429264,,,,,,,False,,,
2017-07-23 07:15:08.848724,,,,,False,,,,,
2017-07-23 07:15:09.266202,,False,,,,,,,,
2017-07-23 07:15:09.285651,,,,,,,False,,,
2017-07-23 07:15:09.562647,,,,,,,,,,False
2017-07-23 07:15:10.105747,,,,,,,,True,,
2017-07-23 07:15:11.767261,,,,False,,,,,,
2017-07-23 07:15:11.989093,,,False,,,,,,,
2017-07-23 07:17:19.838533,,,,,,,True,,,
2017-07-23 07:17:44.970121,,,,,,,True,,,
2017-07-23 07:17:44.989531,,False,,,,,,,,
2017-07-23 07:17:45.027791,,,,,False,,,,,
2017-07-23 07:17:45.702573,,,,,,,,,,False
2017-07-23 07:17:46.353017,,,,,,,,True,,
